Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/15/2019,Google - Generic - Masseuse,21,749,67,2,0,73.50%,317
1/15/2019,Google - Generic - In Home - Competitors Reme,1,23,3,2,0,60.53%,318
1/15/2019,Google - Generic - Therapist - US,2,20,2,2,0,37.04%,319
1/15/2019,Google - Brand - Corporate - Brand,1,6,2,2,0,100.00%,320
1/15/2019,Google - Brand - Core - SKAG,164,938,274,1,16,100.00%,321
1/15/2019,Google - Brand - Extra Tokens,61,341,110,1,5,38.23%,322
1/15/2019,Google - UAC - In Home - Android,312,12976,38,1,32,10%,323
1/15/2019,Croud_Google_GDN_In Home_Membership Remarketing,2,4433,24,1,0,0,324
1/15/2019,Google - Generic - Google Play - App,7,85,20,1,0,100.00%,325
1/15/2019,Croud_Google_GDN_In Home_Re-marketing,15,5225,19,1,0,0,326
1/15/2019,Croud_Google_GDN_In Home_Re-engagement,2,3041,15,1,0,0,327
1/16/2019,Google - Generic - In Home - Massage Memberships,0,2,0,5,0,50.00%,328
1/16/2019,Google - Generic - Corporate - Competitor,0,38,0,3,0,21.11%,329
1/16/2019,Google - Generic - Geo Keywords - Massage,228,8708,234,3,3,18.30%,330
1/16/2019,Google - Generic - Massage - SKAG - National,117,5824,128,3,1,10%,331
1/16/2019,Google - Generic - DSA,125,1244,28,3,0,10%,332
